"","Var1","Freq"
"307","AlbertoMD",209
"308","albhasan",101
"309","AlbusC",1256
"310","alch6727",1438
"311","Ale2",344
"312","Ale88val",21
"313","AlecAtCaffelli",604
"314","Alechamizo",199
"315","aleciuc",1269
"316","Alecs01",3810
"317","alegri",98
"318","Alejandro7",2
"319","alekno",12578
"320","Aleksander Jensen",55
"321","Aleks-Berlin",325
"322","alena_kz",3173
"323","AlenaStern",126
"324","AleneS",116
"325","alenunez21",387
"326","alesarrett",1208
"327","AlessandroPagani",886
"328","alessandroplasmati",111
"329","Alessandro Schenetti",240
"330","alessia_",211
"331","Alessio85",532
"332","Alet Versluis-Oliver",242
"333","Alex135",126
"334","Alex28898",4
"335","Alex-7",68
"336","alex7113",796
"337","Alex_88",4729
"338","Alexander Avtanski",34
"339","Alexander Deynichenko",108
"340","Alexander Harris",18
"341","AlexanderMarkov",1
"342","Alexandre Bevington",265
"343","Alexandr Nikitin",146
"344","alexanj10",40
"345","Alex Barcena",9
"346","Alex Day",692
"347","Alexis Jos",37
"348","AlexisMychajliw",306
"349","alexjdenton",336
"350","alexkkl",448
"351","alexormrod",108
"352","alex smith 1331",304
"353","AlexSR",1
"354","AlexStone",146
"355","alexty528",244
"356","alexussery",104
"357","alexwang123",120
"358","Alex Whiteside",764
"359","Alex Wray",5
"360","alexz3",2
"361","Alfred_Gulz",44088
"362","algirekr",116
"363","Al-Hun",170
"364","ali68",389
"365","Ali_91",26
"366","alice15ch",963
"367","Alice BRYON",5
"368","AliceCraemer",1700
"369","Alice Farmery",47
"370","alicetreuvey",196
"371","Alien_mah",70
"372","alig0363abg",5
"373","AliGazala",86
"374","aliiice",22
"375","alinachristophorou",61
"376","alistaircom",34
"377","alisterFX",177
"378","alittle",219
"379","alivasples",122
"380","alixx478",34
"381","alizoo",421
"382","Aljai",1834
"383","AlKWarizmi",458
"384","Allard85",1755
"385","Allen Bailichan Tuladhat",1
"386","AllenG",627
"387","AllisonD",298
"388","allisonmsiu",36
"389","Allison Suhan",10
"390","AlluveG",15
"391","AllyRa",27
"392","Allysally55",278
"393","AlmaZulic",1196
"394","almereyda",443
"395","almor123",1055
"396","AlNo",3502
"397","Al_NZ",1651
"398","ALRMog",1055
"399","Al Sherren",1042
"400","alsoalso",532
"401","Al Taylor",4094
"402","althealyness",523
"403","altostratus",775
"404","altuck",369
"405","aluka",6
"406","alvaro_lau",127
"407","always4anil",17
"408","always4janak",1
"409","alwilliams02",102
"410","alx520",14
"411","AlyneG",605
"412","Alyson",427
"413","Alyssa1239",643
"414","Alyssa Wright",200
"415","AlyxW",140
"416","alzhong",49
"417","am116",737
"418","AM33",15
"419","am45ar",8
"420","amala",409
"421","amalaint",1
"422","Aman Chaudhary",17
"423","Aman Chetri",198
"424","Aman Chhetri",94
"425","Amanda Atkin",668
"426","amandacleaver",3717
"427","Amanda D",438
"428","amandanectar",503
"429","Amandevi",1195
"430","amanfromuncle",31
"431","Aman Maharjan",2011
"432","Aman Routh",29
"433","amarcoux1989",119
"434","amarendra1975",23
"435","Amaroussi",2
"436","amarras",1
"437","amatyanam",1
"438","Amber King",167
"439","amberkittles1234",5
"440","amberywt",33
"441","Ambika Osti",8
"442","amcs",82
"443","amekidyt",42
"444","amelbadri",15
"445","AmeliaFord",2
"446","AmeliaPittman",1398
"447","Amethyst Pierce",31
"448","amigacyc",47
"449","Amigomarcos",52
"450","amigotreks",1
"451","Amiin23",74
"452","amiko1002",789
"453","Amiku22",223
"454","amilek",1003
"455","Amina Anwar",34
"456","AminoRabbi",22
"457","amirrajgiri",12
"458","amish_dhungel",2
"459","Amita K",789
"460","amitaksha",129
"461","amitangshu",18
"462","amitiirs",49
"463","Amit Maharjan",46
"464","Amit Mistry",130
"465","amitraj mulmi",1
"466","Amit Timalsena",11
"467","amlaurens",743
"468","ammalalrokaya",250
"469","Ammar Ahmed",660
"470","amodacharya",91
"471","Amod Dixit",12
"472","ampshoe",6
"473","amqwang",323
"474","amrit_agg",1
"475","amritapoudel04",5
"476","AmritaT",18
"477","Amrit Gautam",1
"478","Amrit_Gautam",323
"479","amritkarma",55838
"480","Amruta Nori-Sarma",206
"481","amrutha92",16
"482","amsuncow",813
"483","Amundra",67
"484","amuola",226
"485","amuro1",659
"486","amx109",1664
"487","AMY7",62
"488","amybinner",227
"489","amyburz",127
"490","AmyKing",20
"491","amypotter",46
"492","amytraj",192
"493","Ana David",195
"494","Anafedi",1305
"495","anahoj",9
"496","Ana Hoyos",39
"497","AnamarijaGloc",246
"498","Ana Matos Lima",250
"499","anameren",456
"500","Ananda is mapping",147
"501","Anand GK",103
"502","anandgopal",5
"503","AnandSparkee",478
"504","Anant Gupta",416
"505","AnaPag",424
"506","Anas Khalid Kayani",108
"507","AnastasiaS",689
"508","Anayã Gimenes Ferreira",242
"509","an_b",523
"510","anb22",4
"511","Ancymon",3930
"512","AND",3
"513","andbox",4
"514","andehass",441
"515","anders_ar",6232
"516","Anders Ekbom",1298
"517","Andersheggseth",741
"518","Andidy",317
"519","AndiG88",637
"520","Andonbray",499
"521","and_pod",35212
"522","Andrea Bracesco",275
"523","andrea_forNepal",192
"524","Andrea Gagna",23
"525","andreapedot",6973
"526","andreas-42",790
"527","AndreasE",61
"528","Andreas Nemmert REV",22
"529","AndreasTheodor",167
"530","Andrea Zito",21
"531","andreea936",490
"532","Andre Engels",1105
"533","André Hoek",1500
"534","Andrei Mirt",107
"535","André Landeck Moreira Franco Caiado",2
"536","andrePechio",89
"537","Andresuco",14
"538","Åndrew",684
"539","Andrew Bell",682
"540","AndrewBellevue",200
"541","AndrewBuck",9208
"542","Andrew_CR",239
"543","andrewevanjames",888
"544","andrewfr",120
"545","Andrew Goodman",1
"546","Andrew in Chicago",764
"547","AndrewJudd11",717
"548","Andrew Newark",775
"549","andrewno",45
"550","andrewpericak",100
"551","andrewpmk",44
"552","andrewrasner",4
"553","Andrew Rickard",1536
"554","Andrew Rumbach",140
"555","andrewscheuermann",68
"556","Andrew Thong",349
"557","andrewwade206",190
"558","Andriaanaa",124
"559","Andria Tzedda",1146
"560","andro15",99
"561","andromaque2008",329
"562","andybryant",1000
"563","andygol",10093
"564","andykee",217
"565","AndyOXO",600
"566","Andy R (UK)",815
"567","AndyShoots",12
"568","andyshrestha",2
"569","andytilia",188
"570","andytseng",75
"571","Andy Zeigert",505
"572","anebki",6862
"573","Anebo Philippe",55
"574","AneiraS",64
"575","Ane Maria",262
"576","anesteziya",25
"577","angelaluik",4
"578","AngelikiGk",51
"579","Angelinaw",2
"580","Angie_Chavez",79
"581","angiecr8",5307
"582","angkorday2",871
"583","anglopas",2656
"584","AngocA",34
"585","AngrezBaba",6285
"586","angsherpa",1
"587","Angus Gajurel",3
"588","AnibalRei",650
"589","Aniel Lama",1122
"590","Anil Basnet",23
"591","Anil Gautam",17
"592","Anil Gyawali",1891
"593","Anil Kasar",279
"594","Anil Patel",96
"595","Anil Pokhrel",14713
"596","anilpoks",4
"597","Anilsagar",1
"598","Anil shing Rai",4
"599","anindyabakshi",4
"600","Anisha Shrestha",5
"601","AnishJoshi",18
"602","anishmg",2634
"603","anishrestha",63
"604","Anissa2",1054
"605","AnisYao",682
"606","Anita Feng",2
"607","Anita Iyer",221
"608","Anith",526
"609","aniXification",3
"610","anja555",1877
"611","anjab",314
"612","Anjalistha",5
"613","Anjan30",150
"614","AnjanSapkota",11
"615","Anjayana",5
"616","anjbatina",613
"617","anjelz",1
"618","AnjManj",411
"619","Anju Chaudhary",119
"620","anjugiri1",93
"621","anjuta",134
"622","Ankit55",86
"623","AnkitaJoshi",479
"624","anmk78",496
"625","Anmol Baniya",4
"626","Anna8a",229
"627","annackn",2
"628","AnnaHJ",610
"629","annajgibson",270
"630","Anna Lello-Smith",231
"631","Annalisa_T",3552
"632","Annaluisa",2551
"633","AnnaMd",16
"634","annannann",16
"635","annapetrasova",1548
"636","AnnaSeither",448
"637","Annasor",31
"638","ANNA SU",51
"639","AnnaThiele",176
"640","anne4",8
"641","Anne72",4
"642","anne_burroughs",3
"643","Anne_DK",7
"644","Annekatrien",984
"645","annemerell",122
"646","Anne_S",1165
"647","Anney Marie",822
"648","Anni baloch",206
"649","Annie800830",59
"650","annie861220",39
"651","Ann Kristin",30
"652","AnnLinn",669
"653","AnnMar",60
"654","annnnne",38
"655","annotation",1161
"656","Ano59",29
"657","Anonymous_Joker",7
"658","anonymoussparrow",33
"659","anooz",3
"660","anoreuil",289
"661","ansasaki",152
"662","ansil",34
"663","ansis",237
"664","anson919",387
"665","ansoncfit",220
"666","antares881",3543
"667","AntD",170
"668","anthonynon",193
"669","Anthony PHILIBERT",80
"670","antoinebalazuc",100
"671","Antoine Pglt",137
"672","an@tomtom",1400
"673","anton942",91
"674","Antoni Moore",15
"675","AntonioCarvalho",9477
"676","Antonio Moreno Talamantes",170
"677","antonio perrone",40
"678","antonioxD",78
"679","Antropologica",2351
"680","anttiklemm",927
"681","AnujBhattachan",8
"682","AnujBThapa",1
"683","AnujDhungana",4180
"684","Anuj M Shrestha",27
"685","Anup Acharya",133
"686","Anup Adhikari",36
"687","Anupam Anand",2
"688","anup bhandari",62
"689","Anupkhanal",1
"690","Anup Panthi",1
"691","Anup Shrestha",34
"692","anupsth",1
"693","Anusha Prakash",7
"694","anushkasilwala",39
"695","Anu Shrestha",20
"696","anyaw",132
"697","aoaqua",65
"698","aobage",964
"699","aorange",98
"700","aots74",56
"701","aozoraowas",177
"702","apamo",3441
"703","APangilinan",390
"704","Apar",790
"705","Aparpau",8
"706","apekshagurung",24
"707","aperander",11
"708","Apes1",415
"709","ApeStep",225
"710","Apex_Dipak",45
"711","apghimire",1
"712","apitt3",155
"713","apla",81
"714","ApolloniaB",37
"715","ApoorvaLal",397
"716","Apoorva Shenoy",266
"717","appa Chorage",873
"718","aprildh31",590
"719","aptum",2608
"720","aptypaptyp",624
"721","apwright",21639
"722","Araaz Baramu",1
"723","arafin",10
"724","Aragorn77",544
"725","Aragorn Chen",81
"726","araitomo",9
"727","Aramis85",3760
"728","Arashis",436
"729","arasure",1715
"730","aRaut",34
"731","Arbi Petrosian",330
"732","archaeo",4154
"733","archanakc",53
"734","archana shakya",4
"735","archi",4987
"736","ARChisholm",643
"737","ARCK9Kathy",214
"738","arelativist",231
"739","Argenteolus",40
"740","ari244",4178
"741","ari3104",812
"742","Aric",4001
"743","ArielChiu",67
"744","arielhaung",29
"745","Aries0613",421
"746","Arifeen Syed",74
"747","arinaermakova",983
"748","aripperger",838
"749","Arisha (Adyota)",116
"750","arisphinx",1001
"751","Aristoi",1280
"752","Ariston Aristarkhov",1
"753","arithmetric",32
"754","arizacholera",75
"755","ArizonaMapper",264
"756","Arjadne",1347
"757","Arjankc",2
"758","arjendk",2874
"759","Arjun1_pokhara",3
"760","arjun66",274
"761","Arjun Poudel",3
"762","Arjun Pranab Rijal",2
"763","ArleneR",57
"764","ARM85",291
"765","Armin Schmidt",993
"766","Arnaud Saint Léger",1933
"767","Arnebius",1
"768","ArnoldB",39
"769","arockhawk",551
"770","AronFlynn",323
"771","ArrayOfSunshine",1165
"772","ar_sanu",431
"773","ArsenyN",35
"774","arslan arshad",50
"775","ARS panta",30
"776","Art10",7160
"777","artec",1
"778","ArthurLutz",2304
"779","Arthuuu",58
"780","ARudy",621
"781","aruma1",482
"782","arumsey",903
"783","Arunasank",262
"784","Arunkool",56
"785","Arunmozhi",3564
"786","Arun Pyasi",55
"787","Arun Raghavan",125
"788","Arun Yadav",70
"789","arvg",297
"790","arvi1222",2
"791","Aryal Manoj",323
"792","Aryal Vidhan",3
"793","aryan amrit",81
"794","Arya Regmi",149
"795","arzoomalhotra",1488
"796","asd352",30
"797","asdqweasd",863
"798","aseempoudel",3
"799","Asensio_5000",535
"800","Ash1105",974
"801","Ashanna SNB",178
"802","Ashaya",1
"803","AsheshSubedi",13
"804","Ashim",117
"805","Ashim Bajracharya",3
"806","Ashim Manna",87
"807","ashis07",20
"808","Ashish Bastola",91
"809","ashish_giri71",10134
"810","Ashish Koirala1234",17
"811","Ashish Koirala4",7
"812","ashishmittal1991",89
"813","ashish_np",15
"814","Ashish Ranabhat",32
"815","Ashish Thapa",6717
"816","Ashis Kharel",5
"817","ashis_np1",31
"818","Ashiz",1375
"819","ashleykaysmoore",13
"820","Ashleylyn0112",150
"821","AshleyMelvin15",82
"822","ashmabas",161
"823","ashmi",21
"824","ashmi432",23
"825","ashok kavreli",101
"826","Ashok Thapa",5
"827","Ashray",20
"828","Ashtez",5
"829","Ashton",173
"830","Ashug Rai",1
"831","ashwin402",408
"832","Asia Neupane",15
"833","Asifc",284
"834","Asim Sheeraz",86
"835","asis4122",25
"836","asjbrana",21
"837","ask96",190
"838","ASLI SABUNCU",55
"839","Asmayra",87
"840","ASorensen",2
"841","aspath",1
"842","asporter",174
"843","assanges",3076
"844","AStarke",4521
"845","Asterix200",5
"846","astridht",47
"847","AstridMap",641
"848","Astridsmiks",37
"849","astroneero",915
"850","asujan",41
"851","asvybre",60
"852","Aswin 123",11
"853","ata119",500
"854","atanimo",438
"855","ATermens",6
"856","athavale",691
"857","Athemis",882
"858","Athoss6",2220
"859","Athyrium",356
"860","atish",19
"861","Atlanticnepal",2
"862","atlk1414",45
"863","atmishshunt",65
"864","ATNP",89
"865","Atomic Aggie",164
"866","atomicvanilla",172
"867","atpl_pilot",681
"868","atsvienna",3
"869","atzegarten",445
"870","auddess",8
"871","aude",129
"872","Audra_14",1516
"873","AudreyJ27",223
"874","august1",2916
"875","A+UPSupport",15
"876","aurelien kouame",5
"877","Aurélien MOREL",530
"878","Aurimas Fišeras",107
"879","Aurora Echavarria",1046
"880","AuroraLuppi",352
"881","Aury88",1397
"882","austi1996",39946
"883","austin312",10
"884","autolivier",10
"885","AutomaticJ",11
"886","Autre for Nepal",6
"887","autumn979",22
"888","Avani Dixit",14
"889","avantika31",246
"890","Avaya",3
"891","aver",69
"892","AvianWong",10
"893","aviato",27
"894","avinograd",1771
"895","Aviran Gal",1
"896","Avishek  bist",9
"897","Avivtech",13
"898","avlasic",734
"899","Avokado",416
"900","avo_p99",128
"901","Avouspierre",1407
"902","Awalayes",19
"903","Aweimeow",40
"904","awesm",10082
"905","A West",1042
"906","aweverka",517
"907","awilbanks",2
"908","Awitte",38
"909","awoodruff",157
"910","awphall",718
"911","awReimer",408
"912","Axan",1520
"913","Axisential",315
"914","axyjo",26
"915","AYAME_AGU",93
"916","A-Yamori",3
"917","Ayane",111
"918","Ayesha Asghar",109
"919","Ayoo",3229
"920","Ayrus",21
"921","ayu1211",26
"922","AyushB",10
"923","Ayush Karn",1
"924","Ayush Upreti",2
"925","ayushupreti22",374
"926","ayzego",555
"927","Azaltear",10
"928","aziggyzhang",1
"929","azimut400gon",484
"930","azken_tximinoa",300
"931","Azurezany",3
"932","Azzitizz",483
"933","azzits",22
"934","B0k",269
"935","B0ru",269
"936","b33j0y",6
"937","Babin1",7
"938","babita subedi",149
"939","Baboking",1
"940","Babs007",1737
"941","babueverest",106
"942","BabuRam",20
"943","babygoat",54
"944","Badar Hashmi",187
"945","Badbear87",96
"946","badgerr",1983
"947","baditaflorin",78
"948","badri aryal",10
"949","bagade",1167
"950","baghaii",2180
"951","Bahini",1949
"952","bahnpirat",6084
"953","BaiChris",1030
"954","bakasana",91
"955","Baker13",791
"956","bakhto",579
"957","bakhuji",4
"958","bakmi280@UoO",264
"959","balakdam",1208
"960","Balaramdahal",5
"961","Balaram Raymajhi",733
"962","Balaram (Red Cross)",10
"963","balbahadur",342
"964","Balgofil",637
"965","Balla Csilla",390
"966","bamrakesh",221
"967","bananha",828
"968","banepa mf",8
"969","Banjade Dhruba",89
"970","Banjodog",826
"971","bankar",4875
"972","Ban Medo",25968
"973","Bantawa",1063
"974","baralms",1
"975","BaraSafarova",781
"976","Barbara B",835
"977","barbaraulrike",30861
"978","Barbara Weibel",2
"979","Barbarion",113
"980","barbieriiv",969
"981","barbie_tielt",8
"982","Barb Patterson",193
"983","barclaal",312
"984","barery24",42
"985","barma754",446
"986","barnaclebarnes_linz",5
"987","barnellparis",62
"988","Barney81",8478
"989","barsha",3
"990","Barthwo",344
"991","bartleandy",126
"992","bartpepper",133
"993","Bartschneemann",27
"994","Basanta Thapa",4
"995","bascensao",3
"996","Basche",481
"997","baseballguy205",67
"998","Basil Bowman",43
"999","bass",21
"1000","Bastenbas",366
"1001","bastiD",350
"1002","basu999",60
"1003","Basu Adhikari",3
"1004","basudev",940
"1005","BatchJ86",5099
"1006","BáthoryPéter",23004
"1007","Batuhan Sariturk",243
"1008","bavario",119
"1009","Bbajra",2
"1010","bballguy",91
"1011","bbessembinders",526
"1012","bbgun06",88
"1013","bblum",3319
"1014","bbnj356",469
"1015","bboysherman",70
"1016","bbrok12",105
"1017","bbuck721",1281
"1018","bchandl6",453
"1019","bckps7336",27
"1020","bclub13",21
"1021","bcs78",7510
"1022","bcsuvar",60
"1023","bddavidson",120
"1024","bdiscoe",83381
"1025","beachcamp",518
"1026","Bear Chang",16
"1027","BearMaps",3554
"1028","BearsFan3740",31
"1029","Beast Littleproud",48
"1030","Béatrice Cassignol",198
"1031","beauxseph",109
"1032","Beberweber",491
"1033","be best",15
"1034","BeccaKetley",1533
"1035","Becca Stewart-Bermon",215
"1036","beckistuta",115
"1037","BecsM",488
"1038","Bedaparna",26
"1039","Beddhist",12
"1040","BeeDoe",25
"1041","Beeshal",42
"1042","befr9455",188
"1043","befulina",17
"1044","behrang",338
"1045","behsow",523
"1046","bekkasinclair",1373
"1047","BeKri",245
"1048","belac93",13
"1049","belay",20
"1050","Belegor",38
"1051","belenym",1109
"1052","Beltsasar",419
"1053","Ben1216",101
"1054","ben4343",195
"1055","Ben Allard",8364
"1056","BenBroWN9",302
"1057","benczik",13893
"1058","ben_dv",319
"1059","benelsen",969
"1060","benhsu",75
"1061","Benjamin_mcleod",69
"1062","benjeeke",2005
"1063","Benji Thurber",1565
"1064","Ben_Koffman",176
"1065","benoitberlin",2073
"1066","Benoit Carton",719
"1067","benoit_metzger",103
"1068","benoitregamey",673
"1069","benrdair",10
"1070","benshums",1622
"1071","BenTsai",15
"1072","bentup",188
"1073","Benutzernam",107
"1074","benzene007",345
"1075","bepowell",386
"1076","Berber25",15
"1077","BernaWang",160
"1078","Bernd_BDP",362
"1079","Bertil Munkeby",192
"1080","Bert Ober",440
"1081","Bethany Joy",173
"1082","Beth Tellman",5
"1083","Beth_W",98
"1084","Betsy Johannsen",45
"1085","Betzilla",54
"1086","beweta",42
"1087","Bezirksgeometer",49
"1088","bezzybee",219
"1089","BF89",12861
"1090","bfind74",18
"1091","BFriedly",387
"1092","BFX",1454
"1093","Bgabor",20
"1094","bginna1",59
"1095","bgirardot",28648
"1096","BGMSM",4
"1097","bgphipps",431
"1098","BG_PSU",1
"1099","bhagawan",4
"1100","Bhagawat Urban Planner",4178
"1101","BhagirathBhatt",1986
"1102","Bhagirath Bhatt",121
"1103","Bhairaj",36
"1104","Bhakta Nepali",4
"1105","Bhakti Devkota",2
"1106","Bhandari Anupp",39
"1107","Bhandari Arun",973
"1108","bhandariharka",23
"1109","Bhandari Ramashower",14
"1110","BHANUBHAKTA",1012
"1111","Bhanu Bhakta Bhatta",2170
"1112","BharataGubbi",28
"1113","Bharati Adhikari",109
"1114","bharat-OSM",21
"1115","bharatsan",12
"1116","Bhaswanth Blan",751
"1117","Bhawana Dahal",2
"1118","BHDoran",85
"1119","bheshnath sapkota",2
"1120","BH Gunpowder",1613
"1121","Bhimesh chandra Acharya",399
"1122","bhimrai",1
"1123","bhof",131
"1124","BhojRai",126
"1125","Bhoj Raj Ghimire",62
"1126","Bhoj Raj iAdikar",54
"1127","bhousel",898
"1128","bhu onn",50
"1129","Bhupal Sapkota",6
"1130","bhushanshilpakar",1
"1131","bhuvaneshwar",15
"1132","Bhuwan Ranjit",13
"1133","BiancaH",429
"1134","Bianca Top",515
"1135","Bibash Rayamajhi",1
"1136","bibasmali",18
"1137","bibek_barahi",3
"1138","Bibek Basnet",1
"1139","Bibek Chalise",1
"1140","Bibek Deo",171
"1141","Bibekgautam",10
"1142","Bibek Gurung",28
"1143","bibekkhadka",3
"1144","Bibek Neupane",2160
"1145","Bibek Ray",1
"1146","Bibek Shrestha",10
"1147","Bibhor Baral",1
"1148","Bibhu2065",3
"1149","bibi6",3
"1150","Bibliothecarius",97
"1151","Bib San",1
"1152","bibstha",1025
"1153","bickrant",1
"1154","bidurnkb",29
"1155","BiehRan",472
"1156","BiekeB",202
"1157","bielebog",639
"1158","Biff",1
"1159","bigalxyz123",4901
"1160","bigbonedbob",200
"1161","BigDaddy15",189
"1162","bigfatfrog67",47
"1163","bigfootms94",344
"1164","biggityjr",404
"1165","biglemonhead",5820
